FACID,FACNAME,FAC_TYPE_CODE,FAC_FDR,LTC,CAPACITY,ADDRESS,CITY,ZIP,ZIP9,FACADMIN,CONTACT_EMAIL,CONTACT_FAX,CONTACT_PHONE_NUMBER,COUNTY_CODE,COUNTY_NAME,DISTRICT_NUMBER,DISTRICT_NAME,ISFACMAIN,LICENSE_NUMBER,BUSINESS_NAME,INITIAL_LICENSE_DATE,LICENSE_EFFECTIVE_DATE,LICENSE_EXPIRATION_DATE,ENTITY_TYPE_DESCRIPTION,LATITUDE,LONGITUDE,LOCATION,OSHPD_ID,STREETNUM,STREETNAME,CCHLO_CODE,CCLHO_NAME,FIPS_COUNTY_CODE,TRAUMA_PED_CTR,TRAUMA_CTR
010000394,"BENNETT VALLEY ICF/DD-H, INC.",ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,2416 CACTUS AVE,SANTA ROSA,95405,8355,"HIRE, RICHARD",JALBERO88@YAHOO.COM,(650) 347-8887,(707) 544-6465,590,SONOMA,11,SANTA ROSA,Y,010000182,"BENNETT VALLEY ICF/DD-H, INC.",4-Jan-88,1-Feb-17,31-Jan-18,PROFIT CORP,38.42527,-122.672241,"(38.42527,-122.672241)",,2416,CACTUS AVE,49,SONOMA,97,,
010000427,ADULTS IN COMMUNITY TRANSITIONS- ACT 1,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,4795 GADDY LN,KELSEYVILLE,95451,7407,"DAVIS, JAN",ADVOCATESACCT@GMAIL.COM,(707) 263-3927,(707) 279-8822,160,LAKE,11,SANTA ROSA,Y,010000193,ADVOCATES FOR INDEPENDENT LIVING,7-Sep-88,7-Nov-16,6-Nov-17,NONPROFIT CORP,38.98529,-122.829981,"(38.98529,-122.829981)",,4795,GADDY LN,17,LAKE,33,,
010000431,PETALUMA ICF/DDH,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,8,805 PETALUMA AVE,SONOMA,95476,6320,"HIRE, RICHARD  A",BPCABIE@GMAIL.COM,(707) 938-9195,(707) 938-9195,590,SONOMA,11,SANTA ROSA,Y,010000191,"PETALUMA ICF/DDH, INC.",28-Jul-88,26-Dec-16,25-Dec-17,PROFIT CORP,38.29218,-122.485041,"(38.29218,-122.485041)",,805,PETALUMA AVE,49,SONOMA,97,,
010000469,TLC ON LOMBARD,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,804 LOMBARD WAY,ROHNERT PARK,94928,4504,"PEREZ, VELVET A",,(707) 664-1356,(707) 664-1356,590,SONOMA,11,SANTA ROSA,Y,010000201,TEACHING LIVING CONCEPTS INC.,21-Mar-97,13-Dec-16,12-Dec-17,PROFIT CORP,38.32884,-122.692991,"(38.32884,-122.692991)",,804,LOMBARD WAY,49,SONOMA,97,,
010000480,VELMA HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,1450 VELMA AVE,SANTA ROSA,95403,7208,"WILLIAMS, TODD",DENISE@DUMOLINHOMES.COM,(707) 838-2305,(707) 566-2200,590,SONOMA,11,SANTA ROSA,Y,010000211,DUMOLIN SERVICE CORPORATION,27-Feb-90,5-Nov-15,4-Nov-16,PROFIT CORP,38.45227,-122.765881,"(38.45227,-122.765881)",,1450,VELMA AVE,49,SONOMA,97,,
010000481,REDWOOD HOUSE,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,5028 OLD REDWOOD HWY,SANTA ROSA,95403,1214,"WILLIAMS, TODD",DENISE@DUMOLINHOMES.COM,(707) 838-2305,(707) 568-5881,590,SONOMA,11,SANTA ROSA,Y,010000208,DUMOLIN SERVICE CORPORATION,29-Sep-89,16-Nov-16,15-Nov-17,PROFIT CORP,38.50542,-122.758521,"(38.50542,-122.758521)",,5028,OLD REDWOOD HWY,49,SONOMA,97,,
010000487,MAYETTE HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,4347 MAYETTE AVE,SANTA ROSA,95405,7329,"YOUNG, CINDY",DENISE@DUMOLINHOMES.COM,(707)838-2305,(707) 578-1877,590,SONOMA,11,SANTA ROSA,Y,010000205,DUMOLIN SERVICE CORPORATION,29-Jun-89,1-Nov-15,31-Oct-16,PROFIT CORP,38.44336,-122.667971,"(38.44336,-122.667971)",,4347,MAYETTE AVE,49,SONOMA,97,,
010000572,VICTORIA DRIVE HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,2793 VICTORIA DR,SANTA ROSA,95407,7877,"ANDERSON, KEVIN",DENISE@DUMOLINHOMES.COM,(707) 838-2305,(707) 579-2451,590,SONOMA,11,SANTA ROSA,Y,010000230,DUMOLIN SERVICE CORPORATION,16-Oct-91,1-Nov-16,31-Oct-17,PROFIT CORP,38.40923,-122.722491,"(38.40923,-122.722491)",,2793,VICTORIA DR,49,SONOMA,97,,
010000585,FIFTY-O-ONE PARKHURST,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,5001 PARKHURST DR,SANTA ROSA,95409,3221,"BAKER, PATRICIA (PAT)",SARANE@SBCGLOBAL.NET,(707) 537-1753,(707) 538-4669,590,SONOMA,11,SANTA ROSA,Y,010000231,SLOW SCULPTURE,3-Dec-91,3-Dec-16,2-Dec-17,NONPROFIT CORP,38.47606,-122.661241,"(38.47606,-122.661241)",,5001,PARKHURST DR,49,SONOMA,97,,
010000598,SACRAMENTO HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,4044 SACRAMENTO AVE,SANTA ROSA,95405,7724,"ANDERSON, KEVIN",DENISE@DUMOLINHOMES.COM,(707) 838-2305,(707) 575-8402,590,SONOMA,11,SANTA ROSA,Y,010000238,DUMOLIN SERVICE CORPORATION,27-Apr-92,27-Apr-17,26-Apr-18,PROFIT CORP,38.43631,-122.667941,"(38.43631,-122.667941)",,4044,SACRAMENTO AVE,49,SONOMA,97,,
010000620,MUSTARD SEED,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,200 PEACH TREE AVE,VACAVILLE,95688,4443,"OCHS, JIM",SHERIEBRANCH2@AOL.COM,(707) 552-1267,(707) 448-7558,580,SOLANO,11,SANTA ROSA,Y,010000249,"MARK'S GROWING CENTER, INC.",15-Dec-92,15-Jun-17,14-Jun-18,NONPROFIT CORP,38.3558,-121.995671,"(38.3558,-121.995671)",,200,PEACH TREE AVE,48,SOLANO,95,,
010000643,PATHWAYS,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,1152 HICKORY AVE,FAIRFIELD,94533,7094,"IGNACIO, KRISTINA",PATHWAYS1152@SBCGLOBAL.NET,(707) 428-0627,(707) 428-1534,580,SOLANO,11,SANTA ROSA,Y,010000261,"MICHAEL'S PROJECT, INC.",29-Jun-93,21-Nov-16,20-Nov-17,PROFIT CORP,38.28694,-122.011161,"(38.28694,-122.011161)",,1152,HICKORY AVE,48,SOLANO,95,,
010000646,"GENEVIE DREAM HOME, INC.",ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,17355 BUENA VISTA AVE,SONOMA,95476,3493,"CALAUNAN, MARK B",,(650) 873-6924,(707) 935-9411,590,SONOMA,11,SANTA ROSA,Y,010000254,"GENEVIE DREAM HOME,INC.",27-Apr-93,26-Nov-16,25-Nov-17,PROFIT CORP,38.3219,-122.481831,"(38.3219,-122.481831)",,17355,BUENA VISTA AVE,49,SONOMA,97,,
010000657,ESTES HOUSE,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,4740 BADGER RD,SANTA ROSA,95409,2634,"SMITH, CHARIELL",STEVE.LYMAN@THEMENTORNETWORK.COM,(707) 536-9147,(707) 538-9675,590,SONOMA,11,SANTA ROSA,Y,010000260,"CORNERSTONE LIVING SKILLS, INC.",30-Jun-93,30-Jun-17,29-Jun-18,PROFIT CORP,38.48197,-122.668911,"(38.48197,-122.668911)",,4740,BADGER RD,49,SONOMA,97,,
010000673,DOUGLAS HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,3825 DOUGLAS DR,SANTA ROSA,95405,7613,"ANDERSON, KEVIN",DENISE@DUMOLINHOMES.COM,(707) 838-2305,(707) 576-7720,590,SONOMA,11,SANTA ROSA,Y,010000267,DUMOLIN SERVICE CORPORATION,29-Sep-93,29-Nov-16,28-Nov-17,PROFIT CORP,38.4376,-122.672871,"(38.4376,-122.672871)",,3825,DOUGLAS DR,49,SONOMA,97,,
010000703,BAIRD HOUSE,ICFDD_CN,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,920 BAIRD RD,SANTA ROSA,95409,2711,"SMITH, CHARIELL",RUSSELL.SCHREIBER@THEMENTORNETWORK.COM,(707) 536-9147,(707) 539-6447,590,SONOMA,11,SANTA ROSA,Y,010000280,"CORNERSTONE LIVING SKILLS, INC.",21-Jun-94,21-Jun-17,20-Jun-18,PROFIT CORP,38.4787,-122.667291,"(38.4787,-122.667291)",,920,BAIRD RD,49,SONOMA,97,,
010000743,TLC ON GARMONT,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,1304 GARMONT CT,ROHNERT PARK,94928,1527,"PEREZ, VELVET A",TLCINC18@AOL.COM,(707) 664-1356,(707) 588-1943,590,SONOMA,11,SANTA ROSA,Y,010000288,TEACHING LIVING CONCEPTS INC.,22-Mar-97,17-Jun-17,16-Jun-18,PROFIT CORP,38.36937,-122.685361,"(38.36937,-122.685361)",,1304,GARMONT CT,49,SONOMA,97,,
010000765,HOPE HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,6996 LEISURE TOWN RD,VACAVILLE,95688,9413,"OCHS, JAMES B",GOODWINMUSTARDSEED@ATT.NET,(707) 552-1267,(707) 447-3590,580,SOLANO,11,SANTA ROSA,Y,010000296,"MARK'S GROWING CENTER, INC.",31-Aug-95,1-Dec-16,30-Nov-17,NONPROFIT CORP,38.39987,-121.932731,"(38.39987,-121.932731)",,6996,LEISURE TOWN RD,48,SOLANO,95,,
010000792,CROSSROADS,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,1250 WOODMAN WAY,DIXON,95620,2142,"VANDERBECK, DAVID  A",,(707) 449-3873,(707) 678-1802,580,SOLANO,11,SANTA ROSA,Y,010000303,"CROSSROADS LIVING CENTERS, INC.",8-May-96,8-May-17,7-May-18,PROFIT CORP,38.45812,-121.834211,"(38.45812,-121.834211)",,1250,WOODMAN WAY,48,SOLANO,95,,
010000793,PATHWAYS 2,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,1132 GULF DR,FAIRFIELD,94533,7716,"IGNACIO, KRISTINA",PATHWAYS1152@SBCGLOBAL.NET,(707) 428-0627,(707) 422-3061,580,SOLANO,11,SANTA ROSA,Y,010000304,"MICHAEL'S PROJECT, INC.",6-May-96,21-Nov-16,20-Nov-17,PROFIT CORP,38.28464,-122.011811,"(38.28464,-122.011811)",,1132,GULF DR,48,SOLANO,95,,
010000799,MY HOME,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,1639 MANZANITA AVE,SANTA ROSA,95404,2023,"GIBBONS, JANE",MYHOMEINC1639@GMAIL.COM,(707) 539-7435,(707) 539-7435,590,SONOMA,11,SANTA ROSA,Y,010000309,"MY HOME, INC.",24-Sep-96,24-Nov-16,23-Nov-17,NONPROFIT CORP,38.46781,-122.684551,"(38.46781,-122.684551)",,1639,MANZANITA AVE,49,SONOMA,97,,
010000801,DANNY'S PLACE,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,6133 OLD REDWOOD HWY,SANTA ROSA,95403,1157,"WILLIAMS, TODD",DENISE@DUMOLINHOMES.COM,(707) 838-2305,(707) 836-8625,590,SONOMA,11,SANTA ROSA,Y,010000317,DUMOLIN SERVICE CORPORATION,20-Jan-97,20-Jan-17,19-Jan-18,PROFIT CORP,38.52976,-122.784041,"(38.52976,-122.784041)",,6133,OLD REDWOOD HWY,49,SONOMA,97,,
010000822,BADGER CREEK,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,4520 BADGER RD,SANTA ROSA,95409,2631,"BAKER, PATRICIA (PAT)",SARANE@SBCGLOBAL.NET,(707) 537-1753,(707) 539-4191,590,SONOMA,11,SANTA ROSA,Y,010000319,SLOW SCULPTURE,10-Feb-97,10-Feb-17,9-Feb-18,NONPROFIT CORP,38.48193,-122.676811,"(38.48193,-122.676811)",,4520,BADGER RD,49,SONOMA,97,,
010000834,CALISTOGA HOUSE,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,5302 BADGER RD,SANTA ROSA,95409,2744,"SMITH, CHARIELL",CHARIELL.SMITH@THEMENTORNETWORK.COM,(707) 536-9174,(707) 538-9684,590,SONOMA,11,SANTA ROSA,Y,010000326,"CORNERSTONE LIVING SKILLS, INC.",9-Jul-97,9-Nov-16,8-Nov-17,PROFIT CORP,38.48344,-122.659361,"(38.48344,-122.659361)",,5302,BADGER RD,49,SONOMA,97,,
010000860,GREENFIELDS I ICF-DDN,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,219 TORREY PINES CT,VALLEJO,94591,4333,"REYES, TERESITA",GREENFIELDSICFDDN@SBCGLOBAL.NET,(707) 553-2993,(707) 558-8149,580,SOLANO,11,SANTA ROSA,Y,010000325,JASMINE BADILLO & TERESITA REYES,22-Sep-97,22-Mar-17,21-Mar-18,PARTNERSHIP,38.11765,-122.197631,"(38.11765,-122.197631)",,219,TORREY PINES CT,48,SOLANO,95,,
010000862,TLC ON LARCH,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,8470 LARCH AVE,COTATI,94931,4419,"PEREZ, VELVET A",TLCINC18@AOL.COM,(707) 664-1356,(707) 664-1356,590,SONOMA,11,SANTA ROSA,Y,010000336,TEACHING LIVING CONCEPTS INC.,27-Jan-98,9-Jun-17,8-Jun-18,PROFIT CORP,38.32547,-122.699351,"(38.32547,-122.699351)",,8470,LARCH AVE,49,SONOMA,97,,
010000864,CROSSROADS II,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,880 ALEXANDER DR,DIXON,95620,4102,"VANDERBECK, DAVID  A",,(707) 449-3873,(707) 693-1851,580,SOLANO,11,SANTA ROSA,Y,010000328,"CROSSROADS LIVING CENTERS, INC.",19-Sep-97,19-Nov-16,18-Nov-17,PROFIT CORP,38.46201,-121.834081,"(38.46201,-121.834081)",,880,ALEXANDER DR,48,SOLANO,95,,
010000907,GREENFIELDS II ICF-DDN,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,2673 VISTA BONITA,FAIRFIELD,94534,1729,"REYES, TERESITA",GREENSFIELDSICFDDN@SBCGLOBAL.NET,(707) 553-2993,(707) 429-9774,580,SOLANO,11,SANTA ROSA,Y,010000345,JASMINE BADILLO & TERESITA REYES,26-Jan-99,26-Jan-17,25-Jan-18,PARTNERSHIP,38.27046,-122.058631,"(38.27046,-122.058631)",,2673,VISTA BONITA,48,SOLANO,95,,
010000970,DEVON DRIVE HOME,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,363 DEVON DR,SAN RAFAEL,94903,3709,"BONFIGLIO, CHRISTINE",INFO@CASAALLEGRA.ORG,(415) 499-0575,(415) 499-1116,310,MARIN,11,SANTA ROSA,Y,010000369,CASA ALLEGRA COMMUNITY SERVICES,,19-Mar-17,18-Mar-18,NONPROFIT CORP,37.99696,-122.549401,"(37.99696,-122.549401)",,363,DEVON DR,21,MARIN,41,,
010000972,ADRIAN WAY HOME,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,306 ADRIAN WAY,SAN RAFAEL,94903,3004,"BONFIGLIO, CHRISTINE",INFO@CASAALLEGRA.ORG,(415) 499-0575,(415) 479-1858,310,MARIN,11,SANTA ROSA,Y,010000370,CASA ALLEGRA COMMUNITY SERVICES,,20-Mar-17,19-Mar-18,NONPROFIT CORP,38.01049,-122.519411,"(38.01049,-122.519411)",,306,ADRIAN WAY,21,MARIN,41,,
010000976,SUNRISE II,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,48 GOLDEN HINDE BLVD,SAN RAFAEL,94903,3817,"PADECKY, MARY T",KOCONNOR@LIFEHOUSEAGENCY.ORG,(415) 472-5739,(415) 526-5307,310,MARIN,11,SANTA ROSA,Y,010000372,"LIFEHOUSE, INC.",,14-Nov-16,13-Nov-17,NONPROFIT CORP,37.99717,-122.543821,"(37.99717,-122.543821)",,48,GOLDEN HINDE BLVD,21,MARIN,41,,
010000998,ABLE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,10,25 DE ANZA WAY,SAN RAFAEL,94903,3868,"YATES, JR., RONALD S",DEANZAHOUSE@EARTHLINK.NET,(415) 492-0347,(415) 492-8087,310,MARIN,11,SANTA ROSA,Y,010000384,A BROADER LIVING EXPERIENCE DBA ABLE,,21-May-16,20-May-17,NONPROFIT CORP,37.99558,-122.543431,"(37.99558,-122.543431)",,25,DE ANZA WAY,21,MARIN,41,,
010001001,MILES - CENTER ROAD HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,1649 CENTER RD,NOVATO,94947,3941,"LLOYD, NANCY D",MILESMARINLM@OUTLOOK.COM,(415) 897-3138,(415) 897-4611,310,MARIN,11,SANTA ROSA,Y,010000386,JENNIFER F. MADDEN & NANCY D. LLOYD,13-May-86,22-Apr-17,21-Apr-18,PARTNERSHIP,38.10177,-122.579111,"(38.10177,-122.579111)",,1649,CENTER RD,21,MARIN,41,,
010001011,RAE LANE HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,858 RAE LN,NOVATO,94947,2049,"LLOYD, NANCY D",MILESMARIN@SBCGLOBAL.NET,(415) 897-3138,(415) 897-0120,310,MARIN,11,SANTA ROSA,Y,010000392,JENNIFER F. MADDEN & NANCY D. LLOYD,27-Apr-87,1-May-17,30-Apr-18,PARTNERSHIP,38.11282,-122.600741,"(38.11282,-122.600741)",,858,RAE LN,21,MARIN,41,,
010001031,STONEHAVEN,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,2 STONEHAVEN CT,NOVATO,94947,2039,"O'CONNOR, KATE",KOCONNOR@LIFEHOUSEAGENCY.ORG,(415) 472-5739,(415) 892-8232,310,MARIN,11,SANTA ROSA,Y,010000407,"LIFEHOUSE, INC.",,10-Nov-16,9-Nov-17,NONPROFIT CORP,38.11225,-122.608031,"(38.11225,-122.608031)",,2,STONEHAVEN CT,21,MARIN,41,,
010001033,"NOVA HOUSE, INC.",ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,393 NOVA ALBION WAY,SAN RAFAEL,94903,3607,"PADECKY, MARY T",KOCONNOR@LIFEHOUSEAGENCY.ORG,(415) 472-5739,(415) 479-6733,310,MARIN,11,SANTA ROSA,Y,010000408,"LIFEHOUSE, INC.",18-Jun-92,18-Dec-16,17-Dec-17,NONPROFIT CORP,37.99868,-122.548601,"(37.99868,-122.548601)",,393,NOVA ALBION WAY,21,MARIN,41,,
010001124,MONTE VERDE,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,5715 MONTE VERDE DR,SANTA ROSA,95409,3921,"BAKER, PATRICIA (PAT)",SARANE@SBCGLOBAL.NET,(707) 537-1753,(707) 537-7024,590,SONOMA,11,SANTA ROSA,Y,010000428,SLOW SCULPTURE,19-Oct-00,19-Apr-17,18-Apr-18,NONPROFIT CORP,38.47078,-122.643361,"(38.47078,-122.643361)",,5715,MONTE VERDE DR,49,SONOMA,97,,
010001139,GREENFIELDS III ICF-DDN,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,100 MORGAN CT,VALLEJO,94591,8452,"BADILLO, JASMINE",GREENFIELDSICFDDN@SBCGLOBAL.NET,(707) 553-2993,(707) 643-3948,580,SOLANO,11,SANTA ROSA,Y,010000433,JASMINE BADILLO & TERESITA REYES,13-Jun-01,13-Dec-16,12-Dec-17,PARTNERSHIP,38.12931,-122.218921,"(38.12931,-122.218921)",,100,MORGAN CT,48,SOLANO,95,,
010001142,MAXIM HEALTHCARE SERVICES,HHA,"HOME HEALTH AGENCY		",Non-LTC,0,1260 N DUTTON AVE,SANTA ROSA,95401,4659,"FREY, JEREMIAH J",,(707) 577-0918,(707) 577-0910,590,SONOMA,11,SANTA ROSA,Y,010000431,"MAXIM HEALTHCARE SERVICES, INC.",5-Sep-01,3-Nov-17,2-Nov-18,PROFIT CORP,38.44919,-122.732061,"(38.44919,-122.732061)",,1260,N DUTTON AVE,49,SONOMA,97,,
010001143,PARADISE VALLEY ICF/DD-H,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,3313 EL PINOLE WAY,FAIRFIELD,94533,7208,",",WEREBOJUS2003@YAHOO.COM,(707) 425-6060,(707) 425-2202,580,SOLANO,11,SANTA ROSA,Y,010000432,,7-Jan-02,7-Dec-16,6-Dec-17,INDIVIDUAL,38.28986,-122.026061,"(38.28986,-122.026061)",,3313,EL PINOLE WAY,48,SOLANO,95,,
020000109,SUNSHINE ICF/DDH #2,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,21238 ROYAL AVENUE,HAYWARD,94541,4743,"VUNDERMAN, ZAMFIRA",ZVUNDERMAN@GMAIL.COM,,(510) 785-9265,000,ALAMEDA,2,EAST BAY,Y,020000248,,,1-Apr-17,31-Mar-18,INDIVIDUAL,37.66667,-122.113271,"(37.66667,-122.113271)",,21238,ROYAL AVENUE,1,ALAMEDA,1,,
